Type,ID,Date,StartTime,EndTime,Name,Description
job,1,2025-04-03,2025-04-03T09:12:00.000Z,2025-04-03T12:34:00.000Z,dalda HMI,10inch hmi testing with plc
session,2025-04-03,2025-04-03,2025-04-03T09:11:00.000Z,2025-04-03T12:34:00.000Z,,
